Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
CON_Q8N1N4;Q8N1N4,K2C78_HUMAN,KRT78,"Keratin, type II cytoskeletal 78",4.45E+06,5.59E+06,4.62E+06,1.63E+06,1.95E+06,1.97E+06
CON_Q95121,PEDF_BOVIN,SERPINF1,Pigment epithelium-derived factor,1.55E+06,1.37E+07,2.77E+06,707386,,
CON_Q9C075;Q9C075,K1C23_HUMAN,KRT23,"Keratin, type I cytoskeletal 23",1.02E+07,1.30E+07,9.04E+06,1.10E+07,3.71E+06,7.37E+06
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1.39E+07,2.34E+07,2.61E+07,2.61E+07,3.44E+07,3.09E+07
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,31059.2,10739.3,6319.4,12686.4,5396.81,32954.9
H3BQB6,STMD1_HUMAN,STMND1,Stathmin domain-containing protein 1,,,314462,,171995,
H7BZ55,CRCC2_HUMAN,CROCC2,Ciliary rootlet coiled-coil protein 2,6.32E+06,,4.90E+06,4.79E+06,5.33E+06,3.27E+06
K7EJ46,SIM22_HUMAN,SMIM22,Small integral membrane protein 22,3.38E+06,4.57E+06,4.98E+07,1.38E+06,2.97E+06,694276
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,6688.69,,,,,639869
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,336165,,657292,333709,624547,685258
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,4.28E+06,1.30E+07,2.24E+07,3.83E+06,5.78E+06,1.34E+06
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",,,,41309.5,20813.7,44666.6
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,415943,361756,600690,637735,1.07E+06,517059
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,644876,1.83E+06,518891,342315,645637,470522
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,2.52E+07,1.69E+07,2.93E+07,3.06E+07,4.60E+07,2.41E+07
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,1.23E+06,2.85E+06,706616,731843,904395,1.07E+06
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,1.56E+06,1.86E+06,4.00E+06,1.49E+06,2.50E+06,5.48E+06
O00160,MYO1F_HUMAN,MYO1F,Unconventional myosin-If,324936,226953,171893,390679,518335,323938
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,2.33E+07,5.06E+07,8.27E+07,3.47E+07,3.61E+07,3.50E+07
O00167,EYA2_HUMAN,EYA2,Eyes absent homolog 2,104144,,188072,100408,130150,61330.5
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,2.66E+06,1.76E+06,2.29E+06,2.30E+06,2.37E+06,2.65E+06
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,55343.1,,57051.9,44684.8,44873.2,59530.3
O00182,LEG9_HUMAN,LGALS9,Galectin-9,7.63E+06,6.49E+06,4.15E+06,5.69E+06,6.24E+06,3.60E+06
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,328745,593876,206209,271003,191709,521682
O00187,MASP2_HUMAN,MASP2,Mannan-binding lectin serine protease 2,1.11E+06,1.38E+06,1.41E+06,664965,2.95E+06,1.41E+06
O00192,ARVC_HUMAN,ARVCF,Splicing regulator ARVCF,2899.43,,,37430.6,30223.7,17294.3
O00193,SMAP_HUMAN,SMAP,Small acidic protein,9.85E+06,5.33E+06,1.87E+07,1.16E+07,9.69E+06,1.20E+07
O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,41175,192395,31193.7,15635.1,40264.5,58293.5
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,7.02E+06,,5.61E+06,7.56E+06,1.44E+07,1.07E+07
O00204,ST2B1_HUMAN,SULT2B1,Sulfotransferase 2B1,706664,2.34E+06,369637,306657,1.05E+06,234808
O00214,LEG8_HUMAN,LGALS8,Galectin-8,474487,936738,514009,256371,396719,354701
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",5040.63,,,,,4417.84
O00221,IKBE_HUMAN,NFKBIE,NF-kappa-B inhibitor epsilon,420189,,323757,506225,546706,562872
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,1.48E+07,1.11E+07,1.40E+07,1.69E+07,1.64E+07,1.58E+07
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,8.68E+06,7.35E+06,9.26E+06,9.76E+06,1.04E+07,8.50E+06
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,7.08E+06,1.99E+07,4.08E+06,5.77E+06,5.65E+06,7.26E+06
O00244,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,2.34E+07,3.51E+07,2.57E+07,2.13E+07,1.81E+07,1.70E+07
O00255,MEN1_HUMAN,MEN1,Menin,8475.21,,,,,6048.45
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,1.54E+07,6.03E+06,6.06E+06,8.47E+06,6.63E+06,1.87E+08
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,3.76E+06,3.73E+06,2.69E+06,3.00E+06,3.03E+06,3.51E+06
O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,,,,6409.71,,
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,4.43E+06,4.36E+06,5.10E+06,4.69E+06,4.73E+06,4.75E+06
O00291,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,1.39E+06,,1.36E+06,2.45E+06,1.28E+06,2.61E+06
O00292,LFTY2_HUMAN,LEFTY2,Left-right determination factor 2,,,,,,11921.6
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,7.15E+07,1.36E+08,8.06E+07,6.30E+07,6.02E+07,5.18E+07
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,6.45E+06,4.87E+06,5.83E+06,8.05E+06,8.66E+06,8.75E+06
O00329,PK3CD_HUMAN,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",44713.6,,130842,72683.8,114149,96703.8
O00338,ST1C2_HUMAN,SULT1C2,Sulfotransferase 1C2,,,338531,242980,,
O00339,MATN2_HUMAN,MATN2,Matrilin-2,1.83E+06,2.47E+06,1.41E+06,9.37E+06,3.76E+06,1.27E+06
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,3.34E+07,1.34E+08,7.33E+07,3.89E+07,3.23E+07,1.78E+07
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,548017,658139,654036,705792,693160,661325
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,629706,,535483,435929,594542,541074
O00410,IPO5_HUMAN,IPO5,Importin-5,1.07E+07,1.02E+07,9.41E+06,1.15E+07,1.10E+07,1.01E+07
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,273966,,320387,229383,338394,190499
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,552435,565964,,358956,319800,482528
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,1.17E+06,1.57E+06,880738,585787,1.10E+06,1.05E+06
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,539429,1.64E+06,859543,257697,265402,952366
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,5.24E+06,4.22E+06,4.53E+06,5.61E+06,6.21E+06,5.63E+06
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,3.30E+06,2.96E+06,2.23E+06,2.29E+06,2.77E+06,2.73E+06
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,,,325455,614023,670182,422056
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,943955,,697176,1.56E+06,1.85E+06,1.41E+06
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,244526,,352504,609134,353416,190705
O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,4.86E+07,9.82E+07,7.83E+07,4.08E+07,6.63E+07,3.75E+07
O00468,AGRIN_HUMAN,AGRN,Agrin,5.45E+06,1.81E+07,9.10E+06,4.63E+06,1.80E+07,5.77E+06
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",300327,,339289,818729,992098,
O00470,MEIS1_HUMAN,MEIS1,Homeobox protein Meis1,1.38E+06,,833232,750527,994969,1.00E+06
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,306186,1.60E+06,392447,427508,479528,526831
O00478,BT3A3_HUMAN,BTN3A3,Butyrophilin subfamily 3 member A3,,,4.08E+06,8.51E+06,,2.29E+07
O00479,HMGN4_HUMAN,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,1.03E+07,1.78E+06,7.88E+06,2.97E+06,1.76E+06,5.41E+06
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,3.25E+06,,,2.76E+06,,9.33E+06
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,9.28E+06,5.88E+06,9.43E+06,1.23E+07,1.01E+07,1.00E+07
O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,4547.73,,,1780.48,5403.93,
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,3.28E+06,3.43E+06,6.55E+06,3.43E+06,2.79E+06,4.44E+06
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,2.89E+06,4.38E+06,3.05E+06,3.27E+06,3.12E+06,2.75E+06
O00506,STK25_HUMAN,STK25,Serine/threonine-protein kinase 25,,,622327,351310,,480196
O00512,BCL9_HUMAN,BCL9,B-cell CLL/lymphoma 9 protein,,,,8635.46,7393.02,
O00515,LAD1_HUMAN,LAD1,Ladinin-1,4.46E+06,4.29E+06,3.30E+06,4.48E+06,5.79E+06,3.44E+06
O00522,KRIT1_HUMAN,KRIT1,Krev interaction trapped protein 1,,,1.11E+06,245332,414346,
O00533,NCHL1_HUMAN,CHL1,Neural cell adhesion molecule L1-like protein,2.28E+06,2.81E+06,8.36E+06,1.89E+06,3.01E+06,3.69E+06
O00534,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,3.83E+06,4.75E+06,3.27E+06,2.89E+06,2.90E+06,2.93E+06
O00541,PESC_HUMAN,PES1,Pescadillo homolog,29650.8,88296,18041.6,19793.7,54506.2,55552.5
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,1.29E+07,3.40E+07,3.22E+08,5.00E+07,3.33E+07,8.61E+06
O00562,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,102467,66288.8,158386,72665.2,247213,222812
O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,913361,,2.28E+06,654976,1.48E+06,1.81E+06
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,4.85E+06,1.59E+06,3.28E+06,1.20E+06,4.93E+06,5.13E+06
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,1.86E+07,1.18E+07,1.47E+07,1.70E+07,2.49E+07,1.69E+07
O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,4.06E+07,1.30E+08,1.09E+08,3.91E+07,4.53E+07,1.62E+07
O00592,PODXL_HUMAN,PODXL,Podocalyxin,7.69E+07,2.00E+08,2.57E+08,4.38E+08,3.48E+08,5.27E+07
O00602,FCN1_HUMAN,FCN1,Ficolin-1,727088,2.33E+06,732325,1.00E+06,933249,621271
O00625,PIR_HUMAN,PIR,Pirin,3.83E+06,5.99E+06,2.82E+06,2.58E+06,3.03E+06,2.85E+06
O00628,PEX7_HUMAN,PEX7,Peroxisomal targeting signal 2 receptor,31348.5,,45326.5,54582.6,,
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,3.58E+06,8.14E+06,2.71E+06,3.45E+06,3.09E+06,3.15E+06
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,1.68E+06,4.27E+06,3.71E+06,2.47E+06,2.58E+06,2.43E+06
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,5.01E+06,5.86E+06,3.99E+06,3.95E+06,4.61E+06,3.49E+06
O00748,EST2_HUMAN,CES2,Cocaine esterase,3241.83,,,,,
O00750,P3C2B_HUMAN,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,4.93E+06,,,,,
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,1.37E+06,2.69E+06,1.83E+06,647755,1.26E+06,407359
O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",1.52E+07,2.28E+07,7.68E+06,1.23E+07,1.11E+07,7.79E+06
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,21533.1,,38042.9,27004,26734.7,16610.2
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,2.57E+07,3.34E+07,2.02E+07,1.77E+07,2.11E+07,2.56E+07
O14494,PLPP1_HUMAN,PLPP1,Phospholipid phosphatase 1,18228.1,,17411.1,4857.79,7395.25,43442.1
O14495,PLPP3_HUMAN,PLPP3,Phospholipid phosphatase 3,,,,1385.03,,27424
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,908093,391003,500101,571383,210860,418045
O14498,ISLR_HUMAN,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein,1.47E+07,4.19E+06,1.33E+07,8.27E+06,5.09E+06,1.26E+07
O14508,SOCS2_HUMAN,SOCS2,Suppressor of cytokine signaling 2,1265.75,,,,,
O14519,CDKA1_HUMAN,CDK2AP1,Cyclin-dependent kinase 2-associated protein 1,31200.5,,25298.2,35854.1,25133.4,
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,503863,805023,453127,749510,629718,511849
O14531,DPYL4_HUMAN,DPYSL4,Dihydropyrimidinase-related protein 4,609385,,1.05E+06,,,394201
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,235776,,273527,272283,213106,385988
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6,3.32E+06,1.54E+07,2.50E+07,3.19E+06,4.44E+06,1.15E+07
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",130645,,193875,119741,,407026
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,4.27E+06,2.89E+06,5.18E+06,4.39E+06,3.40E+06,4.06E+06
O14569,C56D2_HUMAN,CYB561D2,Transmembrane reductase CYB561D2,,,,7827.01,,14467.3
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,3.37E+06,4.56E+06,1.44E+06,5.39E+06,4.34E+06,4.27E+06
O14593,RFXK_HUMAN,RFXANK,DNA-binding protein RFXANK,,,390099,185287,,
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,1.98E+06,2.36E+06,1.68E+06,1.20E+06,3.09E+06,2.39E+06
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,1.70E+07,5.25E+07,7.85E+06,6.13E+06,7.06E+06,1.50E+07
O14638,ENPP3_HUMAN,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,228767,220941,59692,430489,252176,
O14639,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,1.00E+06,,482120,298578,297640,888849
O14640;P54792,DVL1_HUMAN;DVLP1_HUMAN,DVL1;DVL1P1,Segment polarity protein dishevelled homolog DVL-1,,,,2135.4,226164,
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,281064,,268321,145361,185747,349714
O14645,IDLC_HUMAN,DNALI1,Axonemal dynein light intermediate polypeptide 1,68268.9,55032.3,286719,50361.2,274518,96671.1
O14647,CHD2_HUMAN,CHD2,Chromodomain-helicase-DNA-binding protein 2,153644,,103992,62069.2,,
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,,,54471.6,115060,,12384.2
O14657,TOR1B_HUMAN,TOR1B,Torsin-1B,161814,,,189344,229218,
O14662,STX16_HUMAN,STX16,Syntaxin-16,,,,,,3658.81
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,444988,1.46E+06,471485,542942,328890,570890
O14683,P5I11_HUMAN,TP53I11,Tumor protein p53-inducible protein 11,161962,,,65769.5,98486.8,159618
O14684,PTGES_HUMAN,PTGES,Prostaglandin E synthase,2610.23,,3350.52,,,
O14727,APAF_HUMAN,APAF1,Apoptotic protease-activating factor 1,69474.7,75196.1,38999,58884.7,78527.1,57406.7
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,145964,504756,182296,225119,199140,132145
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,,,,6697.82,6246.79,
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,70528.7,,,50086.3,,467964
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,8.12E+06,1.37E+07,9.35E+06,8.80E+06,8.72E+06,8.27E+06
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,1.50E+07,1.27E+07,1.98E+07,2.26E+07,1.98E+07,1.64E+07
O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,2.58E+07,5.07E+07,1.86E+08,5.67E+07,7.14E+07,2.32E+07
O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,507727,462938,854961,614287,462033,642683
O14773,TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,2.01E+07,2.06E+07,9.74E+06,9.78E+06,1.57E+07,9.75E+06
O14775,GNB5_HUMAN,GNB5,Guanine nucleotide-binding protein subunit beta-5,25699.7,,10908.3,21723.9,,12308.9
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,769644,956052,396324,645041,730963,776051
O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,497901,1.46E+06,,1.32E+06,408837,731191
O14786,NRP1_HUMAN,NRP1,Neuropilin-1,1.89E+06,4.62E+06,1.34E+07,2.38E+06,4.09E+06,2.28E+06
O14787,TNPO2_HUMAN,TNPO2,Transportin-2,1.01E+06,,888791,752443,647651,902914
O14791,APOL1_HUMAN,APOL1,Apolipoprotein L1,5.23E+07,4.39E+07,6.57E+07,3.67E+07,1.13E+08,5.83E+07
O14792,HS3S1_HUMAN,HS3ST1,Heparan sulfate glucosamine 3-O-sulfotransferase 1,,,,614588,,
O14793,GDF8_HUMAN,MSTN,Growth/differentiation factor 8,,,,,7.17E+06,
O14795,UN13B_HUMAN,UNC13B,Protein unc-13 homolog B,,,,919.108,4801.53,
O14798,TR10C_HUMAN,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,2378.02,,,4311.49,,3246.31
O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,92942.9,,,33888.7,85900,20726.4
O14807,RASM_HUMAN,MRAS,Ras-related protein M-Ras,209067,,,,,
O14817,TSN4_HUMAN,TSPAN4,Tetraspanin-4,309879,,1.11E+06,,167610,692762
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,4.00E+07,1.08E+08,4.63E+07,4.09E+07,4.53E+07,4.37E+07
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,336276,,107650,518649,411922,448645
O14841,OPLA_HUMAN,OPLAH,5-oxoprolinase,1.16E+07,1.68E+07,1.47E+07,1.09E+07,1.40E+07,1.27E+07
O14867,BACH1_HUMAN,BACH1,Transcription regulator protein BACH1,5071.52,,,,5514.11,
O14879,IFIT3_HUMAN,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,2.45E+06,,2.98E+06,2.76E+06,3.69E+06,3.34E+06
O14880,MGST3_HUMAN,MGST3,"Glutathione S-transferase 3, mitochondrial",1958.69,,,4713.9,,9413.77
O14896,IRF6_HUMAN,IRF6,Interferon regulatory factor 6,921453,945104,1.03E+06,1.04E+06,1.20E+06,1.10E+06
O14907,TX1B3_HUMAN,TAX1BP3,Tax1-binding protein 3,2.02E+07,1.03E+07,1.66E+07,1.14E+07,8.95E+06,1.22E+07
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,2.79E+06,2.18E+06,3.95E+06,2.23E+06,2.98E+06,1.53E+06
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,342910,,293856,234026,179490,319273
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,873066,,2.04E+06,2.86E+06,3.71E+06,1.25E+06
O14933,UB2L6_HUMAN,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,4.14E+07,,4.48E+07,4.07E+07,3.82E+07,2.86E+07
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,708122,,361252,471008,430634,753561
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,5.89E+06,3.09E+07,5.66E+07,7.02E+07,2.50E+07,8.58E+07
O14960,LECT2_HUMAN,LECT2,Leukocyte cell-derived chemotaxin-2,2125.21,,10341.3,,19232.6,
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,3.87E+06,4.48E+06,4.64E+06,3.34E+06,3.26E+06,3.88E+06
O14966,RAB7L_HUMAN,RAB29,Ras-related protein Rab-7L1,8737.37,,,6510.24,,24641.3
O14967,CLGN_HUMAN,CLGN,Calmegin,1321.87,,3449.23,2435.24,6070.43,
O14972,VP26C_HUMAN,VPS26C,Vacuolar protein sorting-associated protein 26C,127130,,439160,349495,266179,531592
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,2.08E+07,1.23E+07,1.28E+07,1.39E+07,1.09E+07,1.63E+07
O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,1.62E+06,2.82E+06,1.62E+06,1.99E+06,2.19E+06,2.06E+06
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,3.41E+07,1.71E+07,2.44E+07,3.65E+07,3.14E+07,3.78E+07
O14980,XPO1_HUMAN,XPO1,Exportin-1,1.02E+07,7.85E+06,8.92E+06,1.01E+07,7.26E+06,9.26E+06
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,491221,,560635,862989,598046,715696
O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",1.64E+06,1.27E+06,702657,863196,1.24E+06,1.22E+06
O15021,MAST4_HUMAN,MAST4,Microtubule-associated serine/threonine-protein kinase 4,258715,,,339749,335887,
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,897569,913273,683505,898982,922190,630653
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,1.61E+06,2.60E+06,4.93E+06,1.36E+06,1.28E+06,1.98E+06
O15037,KHNYN_HUMAN,KHNYN,Protein KHNYN,,,3139.17,4363.87,,
O15041,SEM3E_HUMAN,SEMA3E,Semaphorin-3E,,,328623,1.31E+06,510457,
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,1.16E+06,,,258819,482917,468614
O15047,SET1A_HUMAN,SETD1A,Histone-lysine N-methyltransferase SETD1A,16631.6,,,19340.7,12521.7,9622.83
O15066,KIF3B_HUMAN,KIF3B,Kinesin-like protein KIF3B,1.03E+06,,756343,,,582278
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,6.13E+06,6.19E+06,5.38E+06,4.71E+06,4.77E+06,4.44E+06
O15068,MCF2L_HUMAN,MCF2L,Guanine nucleotide exchange factor DBS,,,,533455,,
O15075,DCLK1_HUMAN,DCLK1,Serine/threonine-protein kinase DCLK1,37972.3,,,26472.5,,43296.3
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,4.88E+06,,2.86E+06,3.97E+06,4.29E+06,3.77E+06
O15085,ARHGB_HUMAN,ARHGEF11,Rho guanine nucleotide exchange factor 11,390863,,175988,252825,112081,192241
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,72325.4,,105972,79801.3,117482,82671.7
O15116,LSM1_HUMAN,LSM1,U6 snRNA-associated Sm-like protein LSm1,711496,2.26E+06,696472,481982,530793,718299
O15117,FYB1_HUMAN,FYB1,FYN-binding protein 1,5260.47,,,10819.4,9503.88,7052.67
O15123,ANGP2_HUMAN,ANGPT2,Angiopoietin-2,52893.2,,300722,140039,101124,225230
O15126,SCAM1_HUMAN,SCAMP1,Secretory carrier-associated membrane protein 1,4.51E+06,,6.07E+06,6.56E+06,5.19E+06,6.41E+06
O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,337771,,216203,248931,126331,444510
O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,2.42E+07,3.22E+07,1.96E+07,2.68E+07,3.01E+07,2.11E+07
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,3.86E+07,6.03E+07,3.53E+07,4.25E+07,4.21E+07,3.75E+07
O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,2.45E+07,2.98E+07,2.30E+07,1.95E+07,2.63E+07,2.09E+07
O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,4.41E+06,5.33E+06,5.41E+06,5.93E+06,6.05E+06,5.28E+06
O15162,PLS1_HUMAN,PLSCR1,Phospholipid scramblase 1,1.23E+06,,5.49E+06,1.73E+06,971438,845712
O15164,TIF1A_HUMAN,TRIM24,Transcription intermediary factor 1-alpha,11204.5,,7143.02,16091.9,11644.7,9818.52
O15173,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,186465,,,205940,146536,897892
O15195,VILL_HUMAN,VILL,Villin-like protein,416744,,1.53E+06,1.37E+06,1.84E+06,2.15E+06
O15204,ADEC1_HUMAN,ADAMDEC1,ADAM DEC1,847926,3.07E+06,652005,678389,1.33E+06,
O15211,RGL2_HUMAN,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,7126.74,,,,,
O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,3.50E+06,6.64E+06,4.65E+06,4.37E+06,3.94E+06,3.91E+06
O15217,GSTA4_HUMAN,GSTA4,Glutathione S-transferase A4,751297,,1.16E+06,263887,660575,437019
